subject,group,channel,mse_norm,mse_phys
sub-001,A,Fp1,0.4121541976928711,4.650907818810214e-10
sub-001,A,Fp2,0.4826729893684387,5.164892906061164e-10
sub-001,A,P3,0.26614779233932495,2.631702680384701e-10
sub-001,A,P4,0.4229166507720947,4.2343797113905835e-10
sub-002,A,Fp1,0.36586448550224304,3.5595308240407696e-10
sub-002,A,Fp2,0.36232441663742065,3.500098808766722e-10
sub-002,A,P3,0.33080780506134033,3.2597854548404244e-10
sub-002,A,P4,0.5551279783248901,5.407946933793336e-10
sub-003,A,Fp1,0.5086387395858765,4.4475685313138165e-10
sub-003,A,Fp2,0.4614674150943756,4.1379206880576827e-10
sub-003,A,P3,0.500296950340271,4.109327731849941e-10
sub-003,A,P4,0.5588093996047974,4.658786526020234e-10
sub-004,A,Fp1,0.25185123085975647,2.7468432769435515e-10
sub-004,A,Fp2,0.20416565239429474,2.2704335961285078e-10
sub-004,A,P3,0.4126823842525482,4.483809019383247e-10
sub-004,A,P4,0.36459943652153015,4.002299115341725e-10
sub-005,A,Fp1,0.7165682911872864,8.570624377000462e-10
sub-005,A,Fp2,0.6328898668289185,6.247280141891725e-10
sub-005,A,P3,0.505242645740509,5.543038555235996e-10
sub-005,A,P4,0.5686208009719849,6.006873996639883e-10
sub-006,A,Fp1,0.5660248398780823,6.58073571276905e-10
sub-006,A,Fp2,0.7032648324966431,7.977504626888098e-10
sub-006,A,P3,0.7025705575942993,8.287032135748751e-10
sub-006,A,P4,0.5546820163726807,6.486285959109034e-10
sub-007,A,Fp1,0.19862625002861023,2.1518063117333485e-10
sub-007,A,Fp2,0.19870300590991974,2.1735149154579227e-10
sub-007,A,P3,0.13263456523418427,1.3466365364322501e-10
sub-007,A,P4,0.23645535111427307,2.395230792601908e-10
sub-008,A,Fp1,0.29169514775276184,3.724053129382122e-10
sub-008,A,Fp2,0.8024920225143433,1.043541134120539e-09
sub-008,A,P3,0.7045706510543823,8.858221681383085e-10
sub-008,A,P4,0.7479909062385559,9.78137873881746e-10
sub-009,A,Fp1,0.2391880750656128,2.2178985862555156e-10
sub-009,A,Fp2,0.288138210773468,3.4334517808766517e-10
sub-009,A,P3,0.12649375200271606,1.220622229419605e-10
sub-009,A,P4,0.1892177015542984,1.9014429812076523e-10
sub-010,A,Fp1,0.4978596568107605,4.3530575484103034e-10
sub-010,A,Fp2,0.4047139585018158,3.701230108182639e-10
sub-010,A,P3,0.39039990305900574,3.588794142551951e-10
sub-010,A,P4,0.26206716895103455,2.433223153120944e-10
sub-011,A,Fp1,0.13291917741298676,1.6459976702801046e-10
sub-011,A,Fp2,0.07383092492818832,1.2980411548326803e-10
sub-011,A,P3,0.10469524562358856,1.1594821291785191e-10
sub-011,A,P4,0.14797694981098175,1.6920316783961742e-10
sub-012,A,Fp1,0.6005218625068665,7.275373197610858e-10
sub-012,A,Fp2,0.5981489419937134,9.554585783257298e-10
sub-012,A,P3,0.497671902179718,6.721214021309115e-10
