subject,group,channel,mse_norm,mse_phys
sub-001,A,Fp1,0.29971879720687866,3.3821431521913524e-10
sub-001,A,Fp2,0.27060940861701965,2.8956843363210644e-10
sub-001,A,P3,0.42786598205566406,4.230792380143849e-10
sub-001,A,P4,0.4126431941986084,4.1315185069400043e-10
sub-002,A,Fp1,0.3669968247413635,3.570547461579085e-10
sub-002,A,Fp2,0.3127087950706482,3.0208057499280666e-10
sub-002,A,P3,0.35370466113090515,3.4854114444185787e-10
sub-002,A,P4,0.4075447618961334,3.9702204384118515e-10
sub-003,A,Fp1,0.581050455570221,5.080741045016992e-10
sub-003,A,Fp2,0.5814907550811768,5.214154990493956e-10
sub-003,A,P3,0.5205462574958801,4.2756510312198394e-10
sub-003,A,P4,0.5644979476928711,4.70621187570848e-10
sub-004,A,Fp1,0.35520362854003906,3.874067621867109e-10
sub-004,A,Fp2,0.18947461247444153,2.1070612060867054e-10
sub-004,A,P3,0.2916322350502014,3.168594773506895e-10
sub-004,A,P4,0.35328981280326843,3.878150549907028e-10
sub-005,A,Fp1,0.5760115385055542,6.889473891133899e-10
sub-005,A,Fp2,0.7744377851486206,7.644505070891617e-10
sub-005,A,P3,0.7537322044372559,8.269228072375584e-10
sub-005,A,P4,0.7141338586807251,7.544064688623124e-10
sub-006,A,Fp1,0.4961423873901367,5.768266155987118e-10
sub-006,A,Fp2,0.585840106010437,6.645493902664589e-10
sub-006,A,P3,0.5353834629058838,6.315009808041959e-10
sub-006,A,P4,0.5433720946311951,6.354031109618599e-10
sub-007,A,Fp1,0.277558296918869,3.0069122036888515e-10
sub-007,A,Fp2,0.18512296676635742,2.0249695147687345e-10
sub-007,A,P3,0.21494793891906738,2.1823628514041472e-10
sub-007,A,P4,0.24590113759040833,2.490914136291803e-10
sub-008,A,Fp1,0.36178451776504517,4.618879593728729e-10
sub-008,A,Fp2,0.7035455703735352,9.148735710951669e-10
sub-008,A,P3,0.74046391248703,9.309490076060641e-10
sub-008,A,P4,0.6700663566589355,8.762369649090725e-10
sub-009,A,Fp1,0.22073090076446533,2.0467523417048323e-10
sub-009,A,Fp2,0.354832261800766,4.228177366417214e-10
sub-009,A,P3,0.38633909821510315,3.7280425626488915e-10
sub-009,A,P4,0.29400843381881714,2.9544818920666405e-10
sub-010,A,Fp1,0.3288253843784332,2.8750990404541663e-10
sub-010,A,Fp2,0.39011192321777344,3.5676901313701013e-10
sub-010,A,P3,0.4017866551876068,3.6934681166529074e-10
sub-010,A,P4,0.41549625992774963,3.857770981912869e-10
sub-011,A,Fp1,0.12943100929260254,1.602802123095378e-10
sub-011,A,Fp2,0.0844176635146141,1.4841694255268643e-10
sub-011,A,P3,0.1306978315114975,1.447456367835514e-10
sub-011,A,P4,0.12742336094379425,1.4570131602253714e-10
sub-012,A,Fp1,0.7313997745513916,8.860970180663449e-10
sub-012,A,Fp2,0.7444860339164734,1.1892114448589475e-09
sub-012,A,P3,0.6437841653823853,8.694505637375355e-10
sub-012,A,P4,0.7304924726486206,9.699546841014153e-10
sub-013,A,Fp1,0.7889989614486694,1.1467844284015187e-09
sub-013,A,Fp2,0.7459220886230469,9.990588617986992e-10
sub-013,A,P3,0.5838630795478821,6.895362940109881e-10
sub-013,A,P4,0.5406004786491394,6.358633488011056e-10
sub-014,A,Fp1,0.9225365519523621,1.3283218227044077e-09
sub-014,A,Fp2,0.936051070690155,1.8148124390513582e-09
