subject,group,channel,mse_norm,mse_phys
sub-001,A,Fp1,0.5679609179496765,6.409091279082868e-10
sub-001,A,Fp2,0.8729885220527649,9.341505167966574e-10
sub-001,A,P3,0.4423771798610687,4.374280920193006e-10
sub-001,A,P4,0.5035291910171509,5.04149880749179e-10
sub-002,A,Fp1,0.33083376288414,3.2187135490970515e-10
sub-002,A,Fp2,0.35197585821151733,3.400130450699362e-10
sub-002,A,P3,0.3787686228752136,3.7323921283224056e-10
sub-002,A,P4,0.3418889343738556,3.330614356574332e-10
sub-003,A,Fp1,0.33616024255752563,2.939405908199104e-10
sub-003,A,Fp2,0.30564776062965393,2.7407053035571144e-10
sub-003,A,P3,0.591637909412384,4.859582027650695e-10
sub-003,A,P4,0.4068836569786072,3.392183632076292e-10
sub-004,A,Fp1,0.32002002000808716,3.4903337079025507e-10
sub-004,A,Fp2,0.41912683844566345,4.660919424430823e-10
sub-004,A,P3,0.3749696910381317,4.0740592446592736e-10
sub-004,A,P4,0.4815121591091156,5.285679283585222e-10
sub-005,A,Fp1,0.7934351563453674,9.490002245669325e-10
sub-005,A,Fp2,0.7835620045661926,7.734570590605601e-10
sub-005,A,P3,0.49762916564941406,5.45951074134252e-10
sub-005,A,P4,0.44281870126724243,4.677908612068336e-10
sub-006,A,Fp1,0.33676010370254517,3.9152508599242505e-10
sub-006,A,Fp2,0.4709939956665039,5.342733783981702e-10
sub-006,A,P3,0.29830026626586914,3.518541826051216e-10
sub-006,A,P4,0.3820245862007141,4.4672814988890163e-10
sub-007,A,Fp1,0.1320580244064331,1.4306431823178877e-10
sub-007,A,Fp2,0.15845617651939392,1.733274549794531e-10
sub-007,A,P3,0.25082606077194214,2.546632826280931e-10
sub-007,A,P4,0.36619457602500916,3.7094551696358587e-10
sub-008,A,Fp1,0.6560232043266296,8.375405918958214e-10
sub-008,A,Fp2,0.927568793296814,1.2061879288207831e-09
sub-008,A,P3,0.8924922943115234,1.1220868453868446e-09
sub-008,A,P4,0.7767271995544434,1.0157159468406701e-09
sub-009,A,Fp1,0.21746721863746643,2.016489478585621e-10
sub-009,A,Fp2,0.30656012892723083,3.6529671569262657e-10
sub-009,A,P3,0.1580735445022583,1.5253566223449732e-10
sub-009,A,P4,0.11191384494304657,1.1246188555242143e-10
sub-010,A,Fp1,0.18795230984687805,1.6433691903481446e-10
sub-010,A,Fp2,0.3638007938861847,3.32706698997201e-10
sub-010,A,P3,0.53630530834198,4.930045663731413e-10
sub-010,A,P4,0.22372734546661377,2.077248207604998e-10
sub-011,A,Fp1,0.15944567322731018,1.9744871415578987e-10
sub-011,A,Fp2,0.14106687903404236,2.4801343711743146e-10
sub-011,A,P3,0.16441135108470917,1.820827892244468e-10
sub-011,A,P4,0.20706558227539062,2.3676763520470204e-10
sub-012,A,Fp1,0.551777184009552,6.684827291446677e-10
sub-012,A,Fp2,0.6877846717834473,1.0986390154032035e-09
sub-012,A,P3,0.5880593061447144,7.941924059827386e-10
sub-012,A,P4,0.5313645005226135,7.055507148189793e-10
sub-013,A,Fp1,0.407647043466568,5.925017706905951e-10
sub-013,A,Fp2,0.8131420016288757,1.0890905833445519e-09
sub-013,A,P3,0.38256901502609253,4.5181007339734055e-10
sub-013,A,P4,0.3068093955516815,3.608743562096471e-10
sub-014,A,Fp1,0.6410452723503113,9.230142944497438e-10
sub-014,A,Fp2,0.5834630131721497,1.131215985096293e-09
sub-014,A,P3,0.6404147148132324,7.257532679126125e-10
sub-014,A,P4,0.5525027513504028,6.296450500116863e-10
sub-015,A,Fp1,0.1619846373796463,1.7672444462276044e-10
sub-015,A,Fp2,0.14226743578910828,1.5976697170841665e-10
sub-015,A,P3,0.25987473130226135,2.882591656701353e-10
sub-015,A,P4,0.29345694184303284,3.237326061613153e-10
sub-016,A,Fp1,0.5271602869033813,6.080283147566917e-10
sub-016,A,Fp2,0.4740050435066223,5.736403472994687e-10
sub-016,A,P3,0.36045658588409424,4.207500682979878e-10
sub-016,A,P4,0.3166676163673401,3.8694846022006185e-10
sub-017,A,Fp1,0.3670760691165924,4.647411218228278e-10
sub-017,A,Fp2,0.3572064936161041,4.639225242141748e-10
sub-017,A,P3,0.31334155797958374,3.7573169480819244e-10
sub-017,A,P4,0.5581731796264648,6.500816473581535e-10
sub-018,A,Fp1,0.5570489764213562,6.872108399127215e-10
sub-018,A,Fp2,0.6344607472419739,7.852796173534805e-10
sub-018,A,P3,0.6022992134094238,7.331694844651161e-10
sub-018,A,P4,0.4911190867424011,5.861370777520769e-10
sub-019,A,Fp1,0.20411312580108643,2.0630336866583359e-10
sub-019,A,Fp2,0.22376374900341034,2.414143419508747e-10
sub-019,A,P3,0.4578208029270172,4.841841215893547e-10
sub-019,A,P4,0.3193539083003998,3.4482159766482984e-10
sub-020,A,Fp1,0.06676756590604782,8.867156362736964e-11
sub-020,A,Fp2,0.1309678554534912,1.67128363819308e-10
sub-020,A,P3,0.10754623264074326,1.2726571425544044e-10
sub-020,A,P4,0.07052642107009888,8.36995881627628e-11
sub-025,A,Fp1,0.19194504618644714,2.061175987083471e-10
sub-025,A,Fp2,0.38311079144477844,4.059361608948101e-10
sub-025,A,P3,0.2502935826778412,2.713992805952781e-10
sub-025,A,P4,0.2311650812625885,2.566467044198413e-10
sub-027,A,Fp1,0.5541661977767944,7.848823948248373e-10
sub-027,A,Fp2,0.239045187830925,3.545055437597935e-10
sub-027,A,P3,0.5950633883476257,6.990978347746607e-10
sub-027,A,P4,0.30888479948043823,3.7105349425135986e-10
sub-028,A,Fp1,0.6762761473655701,7.417013475410863e-10
sub-028,A,Fp2,0.4427107870578766,4.596028094340933e-10
sub-028,A,P3,0.3924342095851898,4.0738944040656197e-10
sub-028,A,P4,0.5930420160293579,6.170872630081842e-10
sub-029,A,Fp1,0.6382557153701782,7.205395472752532e-10
sub-029,A,Fp2,0.524423360824585,5.529251466270318e-10
sub-029,A,P3,0.6980244517326355,7.909585780099006e-10
sub-029,A,P4,0.692104697227478,7.80057503169821e-10
sub-030,A,Fp1,0.36508458852767944,7.733001681999346e-10
sub-030,A,Fp2,0.5116175413131714,1.2104508071444546e-09
sub-030,A,P3,0.2856842577457428,3.7112876716804945e-10
sub-030,A,P4,0.5107629299163818,7.04637341224055e-10
sub-031,A,Fp1,0.1969374418258667,2.227527552590808e-10
sub-031,A,Fp2,0.19775286316871643,2.2415068545463165e-10
sub-031,A,P3,0.1739431917667389,1.9898172301611018e-10
sub-031,A,P4,0.16780506074428558,1.902010917594917e-10
sub-032,A,Fp1,0.13992732763290405,1.7305012964418278e-10
sub-032,A,Fp2,0.15647771954536438,1.8908745015846007e-10
sub-032,A,P3,0.10232554376125336,1.2332211124644407e-10
sub-032,A,P4,0.16282911598682404,1.98337277484827e-10
sub-033,A,Fp1,0.8731679916381836,9.35280816475765e-10
sub-033,A,Fp2,0.7322285771369934,7.54200456924059e-10
sub-033,A,P3,0.7228161096572876,7.287811234853226e-10
sub-033,A,P4,0.4595605731010437,4.679822807842921e-10
sub-034,A,Fp1,0.1794215887784958,1.8576634245188113e-10
sub-034,A,Fp2,0.29375991225242615,3.0675371215039495e-10
sub-034,A,P3,0.16986796259880066,1.8324452916005105e-10
sub-034,A,P4,0.19902989268302917,2.0831945413198883e-10
sub-035,A,Fp1,0.7351113557815552,7.634881558036445e-10
sub-035,A,Fp2,0.4165617525577545,4.386315497088524e-10
sub-035,A,P3,0.8322471380233765,8.268381188410848e-10
sub-035,A,P4,1.0564420223236084,1.0523958145167138e-09
sub-037,C,Fp1,0.658912181854248,8.888012114168072e-10
sub-037,C,Fp2,0.4720293879508972,6.610304797950316e-10
sub-037,C,P3,0.45579639077186584,5.598552393225552e-10
sub-037,C,P4,0.7049561738967896,8.41730678414001e-10
sub-041,C,Fp1,0.20602548122406006,2.3262942453103716e-10
sub-041,C,Fp2,0.14064733684062958,1.5784656633402318e-10
sub-041,C,P3,0.43353909254074097,4.777351145799046e-10
sub-041,C,P4,0.1339518129825592,1.4836793210794988e-10
sub-042,C,Fp1,0.006128293462097645,1.0207202693678834e-09
sub-042,C,Fp2,0.005271627567708492,9.147095718776686e-10
sub-042,C,P3,0.018885239958763123,1.7530499390406653e-09
