subject,group,channel,mse_norm,mse_phys
sub-001,A,Fp1,0.3215865194797516,3.6289070116104507e-10
sub-001,A,Fp2,0.31776732206344604,3.4003025312252196e-10
sub-001,A,P3,0.3773093819618225,3.730882391003423e-10
sub-001,A,P4,0.42834657430648804,4.2887458802478784e-10
sub-002,A,Fp1,0.45648398995399475,4.4411767124426175e-10
sub-002,A,Fp2,0.5644328594207764,5.452491436326289e-10
sub-002,A,P3,0.3429758548736572,3.379689614249872e-10
sub-002,A,P4,0.4129546284675598,4.022922288218553e-10
sub-003,A,Fp1,0.7384662628173828,6.457194579039706e-10
sub-003,A,Fp2,0.778202474117279,6.978044411844345e-10
sub-003,A,P3,0.39455729722976685,3.2408057698678527e-10
sub-003,A,P4,0.5755602717399597,4.798438324035036e-10
sub-004,A,Fp1,0.4109782576560974,4.4823797769773487e-10
sub-004,A,Fp2,0.40201979875564575,4.4706797970153874e-10
sub-004,A,P3,0.22137299180030823,2.4052255564042693e-10
sub-004,A,P4,0.26254647970199585,2.882038308869771e-10
sub-005,A,Fp1,0.6291158199310303,7.524635751497772e-10
sub-005,A,Fp2,0.5675211548805237,5.60202307986542e-10
sub-005,A,P3,0.5076467394828796,5.569413969933682e-10
sub-005,A,P4,0.48841819167137146,5.159618730130104e-10
sub-006,A,Fp1,0.5280489921569824,6.13921972316204e-10
sub-006,A,Fp2,0.6165169477462769,6.99347752928386e-10
sub-006,A,P3,0.3470446467399597,4.093496530684899e-10
sub-006,A,P4,0.5376493334770203,6.287110848593372e-10
sub-007,A,Fp1,0.15157973766326904,1.6421305652587498e-10
sub-007,A,Fp2,0.15516284108161926,1.6972503655461335e-10
sub-007,A,P3,0.13897834718227386,1.4110448491173588e-10
sub-007,A,P4,0.19179919362068176,1.94287561009543e-10
sub-008,A,Fp1,0.4705342650413513,6.007280599998153e-10
sub-008,A,Fp2,0.39412903785705566,5.125158277169509e-10
sub-008,A,P3,0.952963650226593,1.1981145191577972e-09
sub-008,A,P4,0.5759553909301758,7.531692923489887e-10
sub-009,A,Fp1,0.2655882239341736,2.4626969644207075e-10
sub-009,A,Fp2,0.3680048882961273,4.3851422402460415e-10
sub-009,A,P3,0.18575505912303925,1.7924739428068054e-10
sub-009,A,P4,0.12087340652942657,1.2146532199265916e-10
sub-010,A,Fp1,0.3191808760166168,2.790771862401519e-10
sub-010,A,Fp2,0.33828067779541016,3.0936779010729005e-10
sub-010,A,P3,0.38588690757751465,3.5473079341219993e-10
sub-010,A,P4,0.4908609986305237,4.557512303477506e-10
sub-011,A,Fp1,0.14841413497924805,1.837878665570279e-10
sub-011,A,Fp2,0.1679917275905609,2.953507304643482e-10
sub-011,A,P3,0.20194227993488312,2.2364765784293415e-10
sub-011,A,P4,0.21047905087471008,2.4067074106722775e-10
sub-012,A,Fp1,0.5466736555099487,6.622997611667395e-10
sub-012,A,Fp2,0.5648947358131409,9.023396737687198e-10
sub-012,A,P3,0.6031352281570435,8.145529081468407e-10
sub-012,A,P4,0.42777466773986816,5.680031735437147e-10
sub-013,A,Fp1,0.7257480621337891,1.0548512954560501e-09
sub-013,A,Fp2,0.9561935663223267,1.2806882522981326e-09
sub-013,A,P3,0.4885708689689636,5.769971730554671e-10
sub-013,A,P4,0.48928508162498474,5.755053182674062e-10
sub-014,A,Fp1,0.6873300075531006,9.896577501457244e-10
sub-014,A,Fp2,0.6038268804550171,1.1706973775216984e-09
sub-014,A,P3,0.5883021354675293,6.666964194600762e-10
sub-014,A,P4,0.5535197257995605,6.308040178653946e-10
sub-015,A,Fp1,0.23145070672035217,2.525115854464307e-10
sub-015,A,Fp2,0.16342847049236298,1.835309090704939e-10
sub-015,A,P3,0.294708251953125,3.268973262556389e-10
