subject,group,channel,mse_norm,mse_phys
sub-001,A,Fp1,2.2091898918151855,2.4929355563027073e-09
sub-001,A,Fp2,2.4907238483428955,2.6652251562897925e-09
sub-001,A,P3,3.083240032196045,3.048746332133609e-09
sub-001,A,P4,2.8731343746185303,2.8766760262980693e-09
sub-002,A,Fp1,1.5837337970733643,1.5408298676541559e-09
sub-002,A,Fp2,2.2953593730926514,2.217345626886845e-09
sub-002,A,P3,1.6793501377105713,1.654834338469766e-09
sub-002,A,P4,2.1829237937927246,2.1265611711677943e-09
sub-003,A,Fp1,3.269763946533203,2.8591017753122304e-09
sub-003,A,Fp2,2.227046489715576,1.99696477836375e-09
sub-003,A,P3,3.0727462768554688,2.5238853604509847e-09
sub-003,A,P4,2.8861944675445557,2.406216485689065e-09
sub-004,A,Fp1,1.1528165340423584,1.2573320905653807e-09
sub-004,A,Fp2,1.0445035696029663,1.1615450335998805e-09
sub-004,A,P3,1.4676481485366821,1.594605017514572e-09
sub-004,A,P4,1.8858330249786377,2.0701260318893852e-09
sub-005,A,Fp1,1.0364398956298828,1.2396497506278285e-09
sub-005,A,Fp2,1.3204923868179321,1.3034630980933145e-09
sub-005,A,P3,1.1775422096252441,1.2918865664643132e-09
sub-005,A,P4,1.3426859378814697,1.4184048898892817e-09
sub-006,A,Fp1,1.6838257312774658,1.9576547429055957e-09
sub-006,A,Fp2,1.744855523109436,1.9792818246635732e-09
sub-006,A,P3,1.546457052230835,1.8240928473112264e-09
sub-006,A,P4,1.3953287601470947,1.631655809659827e-09
sub-007,A,Fp1,1.8506269454956055,2.0048662960749924e-09
sub-007,A,Fp2,1.01054048538208,1.1053807704588876e-09
sub-007,A,P3,1.183626651763916,1.2017341723448849e-09
sub-007,A,P4,2.101608991622925,2.1288748793473253e-09
sub-008,A,Fp1,2.893202066421509,3.69373240946886e-09
sub-008,A,Fp2,2.336181879043579,3.037914171321765e-09
sub-008,A,P3,3.5190367698669434,4.424312560531792e-09
sub-008,A,P4,2.890439510345459,3.779789745640852e-09
sub-009,A,Fp1,1.676430344581604,1.5544890731628e-09
sub-009,A,Fp2,1.4492727518081665,1.7269518323565398e-09
sub-009,A,P3,1.1809890270233154,1.1396147527146928e-09
sub-009,A,P4,1.6953233480453491,1.703625323919943e-09
sub-010,A,Fp1,1.8286336660385132,1.5988737939157533e-09
sub-010,A,Fp2,2.0794615745544434,1.9017297592208575e-09
sub-010,A,P3,1.5733458995819092,1.446315561142513e-09
sub-010,A,P4,1.765114426612854,1.6388612537515797e-09
sub-011,A,Fp1,2.222064971923828,2.7516825172891064e-09
sub-011,A,Fp2,1.7961623668670654,3.1578808950624056e-09
sub-011,A,P3,2.468778133392334,2.7341300070747165e-09
sub-011,A,P4,3.28423810005188,3.7553381873202e-09
sub-012,A,Fp1,1.9883129596710205,2.4088579814340164e-09
sub-012,A,Fp2,1.4275553226470947,2.280318300842296e-09
sub-012,A,P3,1.530519723892212,2.067014549758466e-09
sub-012,A,P4,1.8805580139160156,2.4970223823232964e-09
sub-013,A,Fp1,2.570067882537842,3.735510401962685e-09
sub-013,A,Fp2,1.9361002445220947,2.5931369188852624e-09
sub-013,A,P3,0.969765841960907,1.1452834887966758e-09
sub-013,A,P4,0.7382214665412903,8.683084688433348e-10
sub-014,A,Fp1,1.2492198944091797,1.7986995134106033e-09
sub-014,A,Fp2,1.1672799587249756,2.263118173015431e-09
sub-014,A,P3,1.8575198650360107,2.105043936499232e-09
sub-014,A,P4,1.7167459726333618,1.956443838793756e-09
sub-015,A,Fp1,0.6812224388122559,7.432103384069766e-10
sub-015,A,Fp2,0.3498559892177582,3.9288985298245556e-10
sub-015,A,P3,0.8691222071647644,9.640507988108555e-10
sub-015,A,P4,0.6833371520042419,7.538363744808315e-10
sub-016,A,Fp1,1.7072746753692627,1.9691759214058737e-09
sub-016,A,Fp2,1.7622315883636475,2.1326505998599023e-09
sub-016,A,P3,2.3709006309509277,2.767480582865844e-09
sub-016,A,P4,2.4438209533691406,2.986199744096225e-09
sub-017,A,Fp1,1.0807900428771973,1.3683473787612994e-09
sub-017,A,Fp2,0.7904319763183594,1.0265748361991146e-09
sub-017,A,P3,1.2311662435531616,1.4763065016451023e-09
sub-017,A,P4,0.9184881448745728,1.0697258630351547e-09
sub-018,A,Fp1,0.7333448529243469,9.047005804793194e-10
sub-018,A,Fp2,0.6809148192405701,8.427763750995604e-10
sub-018,A,P3,1.4019895792007446,1.7066201551044434e-09
sub-018,A,P4,0.8335742950439453,9.948479189174282e-10
sub-019,A,Fp1,1.6948379278182983,1.713024444063826e-09
sub-019,A,Fp2,1.3658030033111572,1.4735382060204315e-09
sub-019,A,P3,1.947690725326538,2.0598472523326915e-09
sub-019,A,P4,1.7638041973114014,1.904463247441299e-09
sub-020,A,Fp1,0.6188321113586426,8.218483060204981e-10
sub-020,A,Fp2,0.6182345151901245,7.889304029799956e-10
sub-020,A,P3,0.8676899075508118,1.0267879508673414e-09
sub-020,A,P4,1.0647882223129272,1.2636730226190024e-09
sub-025,A,Fp1,3.104840040206909,3.3340905961143917e-09
sub-025,A,Fp2,1.088857889175415,1.1537309863421202e-09
sub-025,A,P3,1.582531213760376,1.7159762081753218e-09
sub-025,A,P4,1.5312769412994385,1.7000715609472885e-09
sub-027,A,Fp1,1.429577112197876,2.0247534257955235e-09
sub-027,A,Fp2,1.4678682088851929,2.1768579500818553e-09
sub-027,A,P3,1.4239438772201538,1.6728908228911318e-09
sub-027,A,P4,1.0914781093597412,1.3111579691134929e-09
sub-028,A,Fp1,0.7609715461730957,8.345904604734015e-10
sub-028,A,Fp2,0.5778909921646118,5.999409350529076e-10
sub-028,A,P3,1.0277941226959229,1.066962212445322e-09
sub-028,A,P4,0.8541148900985718,8.887454945508819e-10
sub-029,A,Fp1,3.631216526031494,4.09935242053831e-09
sub-029,A,Fp2,3.170853614807129,3.343185736698199e-09
sub-029,A,P3,3.591933488845825,4.070159143553687e-09
