subject,group,channel,mse_norm,mse_phys
sub-001,A,Fp1,0.18434134125709534,2.080179190656866e-10
sub-001,A,Fp2,0.3314742147922516,3.546974573329298e-10
sub-001,A,P3,0.6153071522712708,6.084234130440008e-10
sub-001,A,P4,0.5112712979316711,5.119015311943463e-10
sub-002,A,Fp1,0.4781166911125183,4.651643345943056e-10
sub-002,A,Fp2,0.5128542184829712,4.954235366863336e-10
sub-002,A,P3,0.4182078242301941,4.1210266555629254e-10
sub-002,A,P4,0.3894597291946411,3.7940396279243133e-10
sub-003,A,Fp1,0.7559269070625305,6.6098715299625e-10
sub-003,A,Fp2,0.6769810914993286,6.070404913348096e-10
sub-003,A,P3,0.6056208610534668,4.974434878368127e-10
sub-003,A,P4,0.6315767765045166,5.265447178604106e-10
sub-004,A,Fp1,0.32144516706466675,3.5058772317426285e-10
sub-004,A,Fp2,0.3146219253540039,3.4987676968446205e-10
sub-004,A,P3,0.3045009672641754,3.308414014092006e-10
sub-004,A,P4,0.33601877093315125,3.6885620078695584e-10
sub-005,A,Fp1,0.4046951234340668,4.840417770105709e-10
sub-005,A,Fp2,0.4305305480957031,4.249783547763936e-10
sub-005,A,P3,0.34610220789909363,3.797102043168173e-10
sub-005,A,P4,0.39108797907829285,4.1314285511682896e-10
sub-006,A,Fp1,0.3980664312839508,4.6280124048426197e-10
sub-006,A,Fp2,0.5123811960220337,5.812210668184865e-10
sub-006,A,P3,0.5692464709281921,6.714434225505285e-10
sub-006,A,P4,0.5210261940956116,6.092724817708427e-10
sub-007,A,Fp1,0.41332054138183594,4.4776848457158695e-10
sub-007,A,Fp2,0.38518983125686646,4.2134030116236087e-10
sub-007,A,P3,0.20440399646759033,2.075310378934938e-10
sub-007,A,P4,0.44754570722579956,4.5335208274731497e-10
sub-008,A,Fp1,0.7190467119216919,9.180022973757362e-10
sub-008,A,Fp2,0.3845131993293762,5.000116248573951e-10
sub-008,A,P3,0.9952945709228516,1.251335112286869e-09
sub-008,A,P4,0.8383000493049622,1.096233952930713e-09
sub-009,A,Fp1,0.31982421875,2.965606384939208e-10
