subject,group,channel,mse_norm,mse_phys
sub-001,A,Fp1,1.1115471124649048,1.2543128725310955e-09
sub-001,A,Fp2,1.0820595026016235,1.1578691105619667e-09
sub-001,A,P3,0.8165956735610962,8.074600221223604e-10
sub-001,A,P4,0.7763099074363708,7.772668481599943e-10
sub-002,A,Fp1,0.6901467442512512,6.714504158285267e-10
sub-002,A,Fp2,0.7010790109634399,6.77251021031812e-10
sub-002,A,P3,0.47467470169067383,4.677452178206797e-10
sub-002,A,P4,0.6266312599182129,6.104517756282961e-10
sub-003,A,Fp1,1.2260221242904663,1.0720413122933518e-09
sub-003,A,Fp2,1.0559709072113037,9.468759266660407e-10
sub-003,A,P3,1.0515897274017334,8.637523827401634e-10
sub-003,A,P4,1.064221739768982,8.872402478268871e-10
sub-004,A,Fp1,0.43216314911842346,4.713435136474373e-10
sub-004,A,Fp2,0.28727179765701294,3.1946193347012717e-10
sub-004,A,P3,0.3064862787723541,3.329984495378189e-10
sub-004,A,P4,0.20040138065814972,2.19985602877916e-10
sub-005,A,Fp1,0.6953752636909485,8.31714193810884e-10
sub-005,A,Fp2,0.5188456773757935,5.121545575088748e-10
sub-005,A,P3,0.575774610042572,6.316847735436633e-10
sub-005,A,P4,0.5637143850326538,5.955042930536975e-10
sub-006,A,Fp1,0.4809970259666443,5.59218268088055e-10
sub-006,A,Fp2,0.5855394005775452,6.642082842035112e-10
sub-006,A,P3,0.5486258268356323,6.471207494171693e-10
sub-006,A,P4,0.5100675821304321,5.96457807989656e-10
sub-007,A,Fp1,0.23679670691490173,2.5653238102404034e-10
sub-007,A,Fp2,0.3773863911628723,4.1280450002613265e-10
sub-007,A,P3,0.09593747556209564,9.740515948982571e-11
sub-007,A,P4,0.25731414556503296,2.6065249186581573e-10
sub-008,A,Fp1,0.6130185723304749,7.826368557188487e-10
sub-008,A,Fp2,1.1523659229278564,1.498508656031535e-09
sub-008,A,P3,0.7682138681411743,9.658376675956763e-10
sub-008,A,P4,0.7739444971084595,1.0120770434376226e-09
sub-009,A,Fp1,0.3553195595741272,3.294740963286786e-10
sub-009,A,Fp2,0.39656275510787964,4.725437470093001e-10
sub-009,A,P3,0.3136456310749054,3.026575015674684e-10
sub-009,A,P4,0.4473196864128113,4.495102049643972e-10
sub-010,A,Fp1,0.33607998490333557,2.9385299554592584e-10
sub-010,A,Fp2,0.4101206362247467,3.7506757918636044e-10
sub-010,A,P3,0.37437528371810913,3.4414860628710434e-10
sub-010,A,P4,0.38648098707199097,3.5883719801632645e-10
sub-011,A,Fp1,0.3421053886413574,4.236444158425302e-10
sub-011,A,Fp2,0.32718104124069214,5.752257025419986e-10
sub-011,A,P3,0.46759772300720215,5.178565657324015e-10
sub-011,A,P4,0.4296797811985016,4.913142231157455e-10
sub-012,A,Fp1,0.23227934539318085,2.8140839315618096e-10
sub-012,A,Fp2,0.2835875153541565,4.5299106163771527e-10
sub-012,A,P3,0.41975507140159607,5.668922957200041e-10
sub-012,A,P4,0.3965680003166199,5.26566670943455e-10
sub-013,A,Fp1,0.4634934365749359,6.736726937568009e-10
sub-013,A,Fp2,0.39975354075431824,5.354142523963186e-10
sub-013,A,P3,0.20563384890556335,2.428514613517867e-10
sub-013,A,P4,0.2142990380525589,2.520621223300735e-10
sub-014,A,Fp1,1.199820876121521,1.7275719316656801e-09
sub-014,A,Fp2,0.9783474206924438,1.896816449851782e-09
sub-014,A,P3,0.6503583192825317,7.370219087971822e-10
sub-014,A,P4,0.5903669595718384,6.72795986764431e-10
sub-015,A,Fp1,0.35249966382980347,3.8457540374047414e-10
sub-015,A,Fp2,0.2599093019962311,2.918793177684112e-10
sub-015,A,P3,0.33387327194213867,3.703400878081509e-10
sub-015,A,P4,0.38086479902267456,4.201582460730033e-10
sub-016,A,Fp1,0.28462567925453186,3.282881438398838e-10
sub-016,A,Fp2,0.31513386964797974,3.8137463916703454e-10
sub-016,A,P3,0.34317225217819214,4.00574588442608e-10
sub-016,A,P4,0.27422595024108887,3.350873398910535e-10
sub-017,A,Fp1,0.5007002949714661,6.339176981546839e-10
sub-017,A,Fp2,0.4548105299472809,5.906859277846472e-10
sub-017,A,P3,0.4270535409450531,5.12085124449338e-10
sub-017,A,P4,0.468789666891098,5.459802979444262e-10
sub-018,A,Fp1,0.13156183063983917,1.6230299302456973e-10
sub-018,A,Fp2,0.10285136848688126,1.273003627738322e-10
sub-018,A,P3,0.1846950799226761,2.2482645421969454e-10
sub-018,A,P4,0.06389250606298447,7.625394289279069e-11
sub-019,A,Fp1,0.813690185546875,8.224215158619357e-10
sub-019,A,Fp2,0.7136040925979614,7.698935292032596e-10
sub-019,A,P3,0.6408654451370239,6.777692726647596e-10
sub-019,A,P4,0.5739248394966125,6.196939350076688e-10
sub-020,A,Fp1,0.10035481303930283,1.3327755878129572e-10
sub-020,A,Fp2,0.27717018127441406,3.5369746824894656e-10
sub-020,A,P3,0.21548369526863098,2.549943937169092e-10
sub-020,A,P4,0.42364463210105896,5.027744311451715e-10
sub-021,A,Fp1,0.25538769364356995,2.905400743698074e-10
sub-021,A,Fp2,0.3397388160228729,3.721486275979392e-10
sub-021,A,P3,0.2201366424560547,2.6669839056440817e-10
sub-021,A,P4,0.19282469153404236,2.1845447340802113e-10
sub-022,A,Fp1,0.4305702745914459,6.567252459868807e-10
sub-022,A,Fp2,0.27435436844825745,3.792384891151848e-10
sub-022,A,P3,0.47287440299987793,5.400559338975483e-10
sub-022,A,P4,0.4023559093475342,4.825902743494049e-10
sub-023,A,Fp1,0.4406222701072693,4.853394978134686e-10
sub-023,A,Fp2,0.664803147315979,7.34782344100986e-10
sub-023,A,P3,0.5665985941886902,6.232279802620122e-10
sub-023,A,P4,0.4194677472114563,4.743184089890871e-10
sub-024,A,Fp1,0.20017430186271667,2.238687250016099e-10
sub-024,A,Fp2,0.18457187712192535,2.0395025549151473e-10
sub-024,A,P3,0.5196753144264221,5.467848767396228e-10
sub-024,A,P4,0.42245882749557495,4.5437670475600477e-10
sub-025,A,Fp1,0.3057089149951935,3.282813946723916e-10
sub-025,A,Fp2,0.24430446326732635,2.5885988628566276e-10
sub-025,A,P3,0.21938729286193848,2.3788685597709887e-10
sub-025,A,P4,0.16842930018901825,1.8699547779947277e-10
sub-026,A,Fp1,0.26397430896759033,3.1086086348439975e-10
