subject,group,channel,mse_norm,mse_phys
sub-001,A,Fp1,2.65511417388916,2.9961338111560154e-09
sub-001,A,Fp2,2.3650505542755127,2.53074713093783e-09
sub-001,A,P3,2.4864935874938965,2.4586759790305368e-09
sub-001,A,P4,2.35213041305542,2.3550298342246783e-09
sub-002,A,Fp1,0.911319375038147,8.866313989292539e-10
sub-002,A,Fp2,0.7504507303237915,7.249447143588225e-10
sub-002,A,P3,0.8587185144424438,8.46182611278656e-10
sub-002,A,P4,0.9979760050773621,9.722084793749728e-10
sub-003,A,Fp1,0.540701687335968,4.727928925314812e-10
sub-003,A,Fp2,0.5797559022903442,5.198598782148341e-10
sub-003,A,P3,0.4892303943634033,4.018429505624732e-10
sub-003,A,P4,0.5595827102661133,4.665233606709846e-10
sub-004,A,Fp1,0.5878065824508667,6.410977439484609e-10
sub-004,A,Fp2,0.746660053730011,8.303267719105851e-10
sub-004,A,P3,0.7054558992385864,7.664803840639248e-10
sub-004,A,P4,0.8257983922958374,9.064995290361832e-10
sub-005,A,Fp1,1.3669860363006592,1.6350045054778353e-09
sub-005,A,Fp2,1.8306949138641357,1.8070859687720655e-09
sub-005,A,P3,1.801293134689331,1.9762063592693928e-09
sub-005,A,P4,1.7879806756973267,1.8888114203669505e-09
sub-006,A,Fp1,0.9991100430488586,1.1615884459583133e-09
sub-006,A,Fp2,0.9836310148239136,1.1157846389177808e-09
sub-006,A,P3,1.045290231704712,1.2329514306694444e-09
sub-006,A,P4,1.085203766822815,1.26900489789554e-09
sub-007,A,Fp1,1.1389493942260742,1.233874422382503e-09
sub-007,A,Fp2,1.2449032068252563,1.3617386792642442e-09
sub-007,A,P3,0.8463634252548218,8.593113790026881e-10
sub-007,A,P4,1.109814167022705,1.1242126914835385e-09
sub-008,A,Fp1,1.9807558059692383,2.5288181564177926e-09
sub-008,A,Fp2,2.0016961097717285,2.6029570013806903e-09
sub-008,A,P3,2.176392078399658,2.736271155663309e-09
sub-008,A,P4,1.650617003440857,2.1584901539214405e-09
sub-009,A,Fp1,0.8943896293640137,8.293329397729766e-10
sub-009,A,Fp2,1.723156213760376,2.053311067276543e-09
sub-009,A,P3,0.7163577675819397,6.912611899670297e-10
sub-009,A,P4,0.6428267359733582,6.45974649944901e-10
sub-010,A,Fp1,1.0654504299163818,9.315812142953829e-10
sub-010,A,Fp2,1.0513606071472168,9.6150069746433e-10
sub-010,A,P3,1.0432240962982178,9.589952499548223e-10
sub-010,A,P4,1.078644037246704,1.0014919670822694e-09
sub-011,A,Fp1,0.5085146427154541,6.297164438599494e-10
sub-011,A,Fp2,0.27216020226478577,4.784921001475894e-10
sub-011,A,P3,0.5127477049827576,5.678594067607375e-10
sub-011,A,P4,0.4441536068916321,5.078642139160989e-10
sub-012,A,Fp1,0.37003740668296814,4.483034505115812e-10
sub-012,A,Fp2,0.29864031076431274,4.77035779420677e-10
sub-012,A,P3,0.42665013670921326,5.762042961404465e-10
sub-012,A,P4,0.4297391474246979,5.706116278994645e-10
sub-013,A,Fp1,2.456787109375,3.570860468251862e-09
sub-013,A,Fp2,2.2971274852752686,3.076682680200644e-09
sub-013,A,P3,0.7997452020645142,9.444908611307555e-10
sub-013,A,P4,0.8208025693893433,9.65441746889749e-10
sub-014,A,Fp1,1.3897533416748047,2.0010477503750374e-09
sub-014,A,Fp2,1.1435091495513916,2.2170314139428416e-09
sub-014,A,P3,1.5963459014892578,1.8090671996233087e-09
sub-014,A,P4,1.5905288457870483,1.8126038507552592e-09
sub-015,A,Fp1,0.23252665996551514,2.5368544515786634e-10
sub-015,A,Fp2,0.21920478343963623,2.461679599403531e-10
sub-015,A,P3,0.262280136346817,2.909272975341597e-10
sub-015,A,P4,0.24958088994026184,2.753299050994647e-10
sub-016,A,Fp1,1.2258304357528687,1.4138766377993201e-09
sub-016,A,Fp2,0.9719735980033875,1.1762813074726022e-09
sub-016,A,P3,1.469265341758728,1.7150289857420804e-09
sub-016,A,P4,1.292303204536438,1.57911548035513e-09
sub-017,A,Fp1,1.9144455194473267,2.4238070341056187e-09
sub-017,A,Fp2,2.0842673778533936,2.7069457032609014e-09
sub-017,A,P3,2.1353707313537598,2.560549162737087e-09
sub-017,A,P4,2.171771287918091,2.529373871886394e-09
sub-018,A,Fp1,0.9106742143630981,1.1234652934106522e-09
sub-018,A,Fp2,1.094980001449585,1.3552697787623788e-09
sub-018,A,P3,1.3561044931411743,1.6507649520061383e-09
sub-018,A,P4,1.3644300699234009,1.6284096374398103e-09
sub-019,A,Fp1,1.2643409967422485,1.2779080509718756e-09
sub-019,A,Fp2,1.2664384841918945,1.3663357654853639e-09
sub-019,A,P3,1.2188669443130493,1.289054619172894e-09
sub-019,A,P4,1.3185911178588867,1.4237455190279444e-09
sub-020,A,Fp1,1.9390884637832642,2.575232506414939e-09
sub-020,A,Fp2,1.8285057544708252,2.3333601510136978e-09
sub-020,A,P3,1.904384970664978,2.253569535239923e-09
sub-020,A,P4,2.1740550994873047,2.5801325759799628e-09
sub-025,A,Fp1,0.7552109956741333,8.109731406940747e-10
sub-025,A,Fp2,0.6333397626876831,6.710735315962142e-10
sub-025,A,P3,0.5568498969078064,6.038055782471049e-10
sub-025,A,P4,0.5750144720077515,6.383990541671311e-10
