subject,group,channel,mse_norm,mse_phys
sub-001,A,Fp1,0.5874552726745605,6.629073138591153e-10
sub-001,A,Fp2,0.5692539215087891,6.091361243966254e-10
sub-001,A,P3,0.647574782371521,6.403300495327316e-10
sub-001,A,P4,0.4205363392829895,4.210547254905704e-10
sub-002,A,Fp1,0.45535674691200256,4.4302096562970923e-10
sub-002,A,Fp2,0.3948912024497986,3.8146979994178237e-10
sub-002,A,P3,0.47988399863243103,4.728784674420229e-10
sub-002,A,P4,0.46860313415527344,4.565039020673936e-10
sub-003,A,Fp1,1.0183775424957275,8.904756084226628e-10
sub-003,A,Fp2,0.8189526796340942,7.343446416265712e-10
sub-003,A,P3,0.5745084285736084,4.718884286848761e-10
sub-003,A,P4,0.47583380341529846,3.9670200851022367e-10
sub-004,A,Fp1,0.2782810926437378,3.0351034847815e-10
sub-004,A,Fp2,0.16084951162338257,1.7887344459160159e-10
sub-004,A,P3,0.3455280661582947,3.7541749263096795e-10
sub-004,A,P4,0.2499605119228363,2.7438789957648665e-10
sub-005,A,Fp1,0.8128395080566406,9.722090954926852e-10
sub-005,A,Fp2,1.0182130336761475,1.0050819895999117e-09
sub-005,A,P3,1.051770806312561,1.153902224963102e-09
sub-005,A,P4,1.1521234512329102,1.2170958903191684e-09
sub-006,A,Fp1,0.46214619278907776,5.373018534067163e-10
sub-006,A,Fp2,0.4720741808414459,5.354986895231989e-10
sub-006,A,P3,0.48454007506370544,5.715296676906491e-10
sub-006,A,P4,0.5102805495262146,5.967068457064446e-10
sub-007,A,Fp1,0.1748133897781372,1.8938310291107784e-10
sub-007,A,Fp2,0.22335930168628693,2.4432180655661357e-10
sub-007,A,P3,0.3852234184741974,3.9111669653438426e-10
sub-007,A,P4,0.1693313717842102,1.715282457934528e-10
sub-008,A,Fp1,0.5316179990768433,6.78713269092847e-10
sub-008,A,Fp2,1.2178328037261963,1.5836401976779975e-09
sub-008,A,P3,0.7246527075767517,9.110703541402376e-10
sub-008,A,P4,0.6288931965827942,8.223953648014029e-10
sub-009,A,Fp1,0.16783058643341064,1.5562281701501513e-10
sub-009,A,Fp2,0.4068148136138916,4.847600887574595e-10
sub-009,A,P3,0.1392366886138916,1.3435872885582715e-10
sub-009,A,P4,0.2981649935245514,2.996251035299632e-10
sub-010,A,Fp1,0.14707589149475098,1.2859644498243723e-10
sub-010,A,Fp2,0.15556536614894867,1.4226917675693704e-10
sub-010,A,P3,0.17037132382392883,1.5661571742391675e-10
sub-010,A,P4,0.1920720487833023,1.7833372949292574e-10
sub-011,A,Fp1,0.33653712272644043,4.1674898291716967e-10
sub-011,A,Fp2,0.25109127163887024,4.414502520773486e-10
sub-011,A,P3,0.3167423605918884,3.507868045703954e-10
sub-011,A,P4,0.3000660538673401,3.431083485660501e-10
sub-012,A,Fp1,0.43073350191116333,5.218372836645412e-10
sub-012,A,Fp2,0.4924829602241516,7.866720744452312e-10
sub-012,A,P3,0.4864857792854309,6.570141948098081e-10
sub-012,A,P4,0.7067793011665344,9.38468114950944e-10
sub-013,A,Fp1,0.4460069537162781,6.482566574504927e-10
sub-013,A,Fp2,0.34810012578964233,4.662316892979578e-10
sub-013,A,P3,0.11973480880260468,1.4140557815334765e-10
sub-013,A,P4,0.15981866419315338,1.879813929664186e-10
sub-014,A,Fp1,1.042662262916565,1.5012858131326943e-09
sub-014,A,Fp2,0.9516719579696655,1.8450981589565477e-09
sub-014,A,P3,0.6499494314193726,7.365585345241783e-10
sub-014,A,P4,0.616910994052887,7.030461889172381e-10
sub-015,A,Fp1,0.2185862809419632,2.384765600399894e-10
sub-015,A,Fp2,0.14981001615524292,1.6823732346024706e-10
sub-015,A,P3,0.19400417804718018,2.1519399835513715e-10
sub-015,A,P4,0.19349133968353271,2.134536510603303e-10
sub-016,A,Fp1,0.4102056920528412,4.731325212443496e-10
sub-016,A,Fp2,0.5119560360908508,6.195685939808192e-10
sub-016,A,P3,0.4779678285121918,5.579173869094223e-10
sub-016,A,P4,0.3139655590057373,3.83646711378508e-10
sub-017,A,Fp1,0.4607882499694824,5.833865681545599e-10
sub-017,A,Fp2,0.35642892122268677,4.6291265078253134e-10
sub-017,A,P3,0.29470333456993103,3.533823731443906e-10
sub-017,A,P4,0.3841022849082947,4.47348341413171e-10
sub-018,A,Fp1,0.17819532752037048,2.1983302344526396e-10
sub-018,A,Fp2,0.1356242448091507,1.6786374181627027e-10
sub-018,A,P3,0.18803437054157257,2.2889132086243291e-10
sub-018,A,P4,0.06341113150119781,7.567943563667623e-11
sub-019,A,Fp1,0.5512509346008301,5.571661515740457e-10
sub-019,A,Fp2,0.532478928565979,5.744811244671427e-10
sub-019,A,P3,0.4066612124443054,4.3007853874913653e-10
sub-019,A,P4,0.4234071373939514,4.571728160644266e-10
sub-020,A,Fp1,0.06627048552036285,8.801140933764751e-11
sub-020,A,Fp2,0.10435972362756729,1.3317366920392345e-10
sub-020,A,P3,0.1174449548125267,1.3897944812110197e-10
sub-020,A,P4,0.1536601483821869,1.8236131851685404e-10
sub-021,A,Fp1,0.22360026836395264,2.5437732598908786e-10
sub-021,A,Fp2,0.25963425636291504,2.844023927379709e-10
sub-021,A,P3,0.22890706360340118,2.773238692601519e-10
sub-021,A,P4,0.16256195306777954,1.8416928646989e-10
sub-022,A,Fp1,0.18647630512714386,2.8442208991679694e-10
sub-022,A,Fp2,0.13389244675636292,1.8507877056601288e-10
sub-022,A,P3,0.5602115988731384,6.398011740334138e-10
sub-022,A,P4,0.46880707144737244,5.622925573371228e-10
sub-023,A,Fp1,0.4779307246208191,5.264342581245956e-10
sub-023,A,Fp2,0.5584961175918579,6.172851138148962e-10
sub-023,A,P3,0.5810281038284302,6.390996648040877e-10
sub-023,A,P4,0.5361027717590332,6.062049238488853e-10
sub-024,A,Fp1,0.1382746696472168,1.5464209794107843e-10
sub-024,A,Fp2,0.19150155782699585,2.1160749001885356e-10
sub-024,A,P3,0.42805051803588867,4.503803495090262e-10
sub-024,A,P4,0.3112219274044037,3.3473556384215147e-10
sub-025,A,Fp1,0.1967584490776062,2.1128640647522124e-10
sub-025,A,Fp2,0.231549933552742,2.45345454058808e-10
sub-025,A,P3,0.14589647948741913,1.5819902032899706e-10
sub-025,A,P4,0.18111364543437958,2.0107803467685662e-10
sub-026,A,Fp1,0.3091048300266266,3.6400737156990953e-10
sub-026,A,Fp2,0.35958364605903625,3.9813231390817947e-10
sub-026,A,P3,0.5967683792114258,7.057851155795822e-10
sub-026,A,P4,0.5291035771369934,6.158374744905845e-10
sub-027,A,Fp1,0.30538874864578247,4.325313477279346e-10
sub-027,A,Fp2,0.515919029712677,7.651112236305664e-10
sub-027,A,P3,0.5263783931732178,6.184046979623424e-10
sub-027,A,P4,0.4301759600639343,5.167567112177203e-10
sub-028,A,Fp1,0.5387002229690552,5.908158713763525e-10
sub-028,A,Fp2,0.5237244367599487,5.43707606728572e-10
sub-028,A,P3,0.33335432410240173,3.460580862630033e-10
sub-028,A,P4,0.49526065587997437,5.153412985117774e-10
sub-029,A,Fp1,1.2861957550048828,1.452011920458977e-09
sub-029,A,Fp2,1.704019546508789,1.7966309817457893e-09
