subject,group,channel,mse_norm,mse_phys
sub-001,A,Fp1,2.1502475730645307,2.4264227577746905e-09
sub-001,A,Fp2,1.6413285108560012,1.7563207738904836e-09
sub-001,A,P3,1.4469112315205097,1.4307239345485348e-09
sub-001,A,P4,1.359334988506847,1.3610106118566045e-09
sub-002,A,Fp1,1.1905268900705193,1.1582750799761431e-09
sub-002,A,Fp2,1.107027029791816,1.0694018427481051e-09
sub-002,A,P3,1.6659501182937757,1.6416299376904828e-09
sub-002,A,P4,1.3011791173257719,1.26758295250966e-09
sub-003,A,Fp1,1.2538390115623845,1.096364570205326e-09
sub-003,A,Fp2,1.1809850892513563,1.0589745826585443e-09
sub-003,A,P3,0.41162363736427354,3.380984886986622e-10
sub-003,A,P4,1.1194998441008541,9.333255298259726e-10
sub-004,A,Fp1,0.3256661948801233,3.551914338002137e-10
sub-004,A,Fp2,0.35239635197207125,3.918839958081387e-10
sub-004,A,P3,0.5077808980529116,5.517057808716272e-10
sub-004,A,P4,0.5925406870276649,6.504467176692302e-10
sub-005,A,Fp1,0.8538400032866319,1.021248363376702e-09
sub-005,A,Fp2,1.1245409234016013,1.1100386572329934e-09
sub-005,A,P3,1.018677845521386,1.117595796929193e-09
sub-005,A,P4,1.2244679048019769,1.293520111206325e-09
sub-006,A,Fp1,1.4857157133011332,1.7273274536235599e-09
sub-006,A,Fp2,1.3983151604469002,1.5861827787849986e-09
sub-006,A,P3,1.1501548581100436,1.3566424278982359e-09
sub-006,A,P4,1.597071817717244,1.867568120324283e-09
sub-007,A,Fp1,0.8222189252360351,8.907462496496138e-10
sub-007,A,Fp2,0.8968038743719783,9.809698591432522e-10
sub-007,A,P3,0.40739621368422424,4.136286986598729e-10
sub-007,A,P4,0.701710345441156,7.108142061355631e-10
sub-008,A,Fp1,0.6784835336343696,8.662155493950587e-10
sub-008,A,Fp2,0.9316803716925977,1.2115345254993626e-09
sub-008,A,P3,1.208529918082598,1.5194254695308185e-09
sub-008,A,P4,0.885458821780303,1.157902859677009e-09
sub-009,A,Fp1,0.7055565361854955,6.542353098915517e-10
sub-009,A,Fp2,1.138216862817617,1.3562979738697106e-09
sub-009,A,P3,0.6549575205906832,6.320120134798206e-10
sub-009,A,P4,0.7072152991949145,7.106785231036923e-10
sub-010,A,Fp1,0.9139839454383087,7.991458352546048e-10
sub-010,A,Fp2,1.0340717807642714,9.456895490224577e-10
sub-010,A,P3,1.0564826289298266,9.711833022248968e-10
sub-010,A,P4,0.9340640253465807,8.67253316036433e-10
sub-011,A,Fp1,1.4748885169428727,1.8264204684836204e-09
sub-011,A,Fp2,0.8724228375173265,1.5338298262074643e-09
