subject,group,channel,mse_norm,mse_phys
sub-001,A,harm_00,0.8292380571365356,0.520926441653203
sub-001,A,harm_01,0.7827420234680176,0.775214651093058
sub-001,A,harm_02,0.5593574643135071,0.18285013608649808
sub-001,A,harm_03,0.5878044962882996,0.5190766528946034
sub-001,A,harm_04,1.017453908920288,0.728576007992845
sub-001,A,harm_05,0.791501522064209,0.4885803070630238
sub-001,A,harm_06,0.6985036134719849,1.048723639065567
sub-001,A,harm_07,0.45293036103248596,0.6619792532669923
sub-001,A,harm_08,0.531143069267273,0.8298230384669563
sub-001,A,harm_09,1.0885608196258545,1.2654121879622073
sub-001,A,harm_10,0.7558263540267944,0.694942421619197
sub-001,A,harm_11,1.0917787551879883,1.3438796614101696
sub-002,A,harm_00,0.24998235702514648,0.121395432755468
sub-002,A,harm_01,0.23710155487060547,0.22832198245442842
sub-002,A,harm_02,0.5158678889274597,0.12909762041692002
sub-002,A,harm_03,0.43947792053222656,0.29783051782024283
sub-002,A,harm_04,0.2776027321815491,0.16825156546472855
sub-002,A,harm_05,0.48923391103744507,0.2075590928810191
sub-002,A,harm_06,0.8573917150497437,0.4639994181034357
sub-002,A,harm_07,0.614487886428833,1.2181684209965913
sub-002,A,harm_08,0.6137536764144897,0.8748643884403923
sub-002,A,harm_09,0.7421352863311768,1.7563418096067716
sub-002,A,harm_10,0.4374721646308899,0.4752188379060283
sub-002,A,harm_11,0.6337850689888,0.7549755580524573
sub-003,A,harm_00,0.8768264055252075,0.42318680596020064
sub-003,A,harm_01,0.3868619203567505,0.37200114357011205
sub-003,A,harm_02,0.25118011236190796,0.09894246042714411
sub-003,A,harm_03,0.6643255949020386,0.4518078354796659
sub-003,A,harm_04,0.37390342354774475,0.25166282388157596
sub-003,A,harm_05,0.4441450536251068,0.29464129824749097
sub-003,A,harm_06,0.5736410617828369,0.3770433793755813
sub-003,A,harm_07,0.2798783779144287,0.5227814261820709
sub-003,A,harm_08,0.7654131054878235,1.2839915272413993
sub-003,A,harm_09,0.4831872880458832,0.9624540508173006
sub-003,A,harm_10,0.6666626334190369,0.5758105721339405
sub-003,A,harm_11,0.5825363397598267,0.6332282008254462
sub-004,A,harm_00,1.0470290184020996,0.5594704413594637
sub-004,A,harm_01,0.3516934812068939,0.31710495750852835
sub-004,A,harm_02,0.605673611164093,0.15992417412156332
sub-004,A,harm_03,0.5609069466590881,0.40073163685041996
sub-004,A,harm_04,0.7322903275489807,0.6123325695578206
sub-004,A,harm_05,0.7889136075973511,0.6070839052413606
sub-004,A,harm_06,0.6309974789619446,0.49845215379223684
sub-004,A,harm_07,0.4876644015312195,0.6779287976574885
sub-004,A,harm_08,0.9287137985229492,1.22189519389146
sub-004,A,harm_09,0.7698765993118286,1.624814969720617
sub-004,A,harm_10,0.5618340373039246,0.6689178790122035
sub-004,A,harm_11,0.8857412338256836,1.0477914909749537
sub-005,A,harm_00,0.1873144805431366,0.11386620055744895
sub-005,A,harm_01,0.15710322558879852,0.20491175264888015
sub-005,A,harm_02,0.32291263341903687,0.11504875425184337
sub-005,A,harm_03,0.20117731392383575,0.1945342661884443
sub-005,A,harm_04,0.2873191833496094,0.12974223472215043
sub-005,A,harm_05,0.09262463450431824,0.05844748005831059
sub-005,A,harm_06,0.09521327167749405,0.1225904744317471
sub-005,A,harm_07,0.176280215382576,0.23892286428468223
sub-005,A,harm_08,0.3490109443664551,0.5790722762348547
sub-005,A,harm_09,0.33206450939178467,0.4656289915435739
sub-005,A,harm_10,0.3493524491786957,0.35736275851914634
sub-005,A,harm_11,0.3224307894706726,0.30783487236208223
sub-006,A,harm_00,0.7794681787490845,0.374048731119161
sub-006,A,harm_01,0.7686503529548645,0.8150705449976641
