subject,group,channel,mse_norm,mse_phys
sub-001,A,harm_00,2.518046911042936,1.581834318862502
sub-001,A,harm_01,1.9315616927659547,1.9129864998023298
sub-001,A,harm_02,0.48518657487615113,0.15860417872911872
sub-001,A,harm_03,1.5839636486128659,1.3987619254709265
sub-001,A,harm_04,1.8641335351159765,1.3348643682755685
sub-001,A,harm_05,1.2383773003903893,0.7644290564428399
sub-001,A,harm_06,1.1029929344175222,1.6560182964498662
sub-001,A,harm_07,0.9395549502990267,1.3732042227958434
sub-001,A,harm_08,0.5199698631967625,0.8123667553159042
sub-001,A,harm_09,1.3502136666189777,1.5695740644790468
sub-001,A,harm_10,1.1834236995656056,1.0880956018484056
sub-001,A,harm_11,1.5020934648554807,1.8489394919658724
sub-002,A,harm_00,0.7160805805935776,0.34774018856138594
sub-002,A,harm_01,0.3964804910345253,0.38179931703489167
sub-002,A,harm_02,0.47658618855155693,0.11926724687883655
sub-002,A,harm_03,0.4332759741474783,0.29362751053144437
sub-002,A,harm_04,0.5287013554910922,0.32043931997947617
sub-002,A,harm_05,0.5587947423890791,0.23707050394567372
sub-002,A,harm_06,1.0430890317543606,0.5644942623874311
sub-002,A,harm_07,0.6507618837920879,1.2900784440696798
sub-002,A,harm_08,0.8505236849048542,1.212364034697597
sub-002,A,harm_09,0.647029400313923,1.5312636506398656
sub-002,A,harm_10,0.5284328504117755,0.5740279391168431
sub-002,A,harm_11,0.6845862832749866,0.8154908288944309
sub-003,A,harm_00,1.1015067972182861,0.5316253483254114
sub-003,A,harm_01,0.5351344214939516,0.5145779573650061
sub-003,A,harm_02,0.762582166614596,0.30038905203608357
sub-003,A,harm_03,0.9985660333892316,0.6791247568831554
sub-003,A,harm_04,0.5607782470978121,0.3774424847382406
sub-003,A,harm_05,1.0543019004445298,0.6994131267619125
sub-003,A,harm_06,1.2430906366358887,0.8170598754744889
sub-003,A,harm_07,0.7700911288150614,1.4384438755579332
sub-003,A,harm_08,1.2162001105505529,2.0401932318387845
sub-003,A,harm_09,1.0712687208546026,2.133845292309248
sub-003,A,harm_10,1.4111361928990651,1.218828081641389
sub-003,A,harm_11,1.1774761336535602,1.2799391947560796
sub-004,A,harm_00,1.5912543930739038,0.8502723247984978
sub-004,A,harm_01,0.6984651526809215,0.6297721578517839
sub-004,A,harm_02,0.6239443467257668,0.16474844290500637
sub-004,A,harm_03,0.7923623929755852,0.5660915426472856
sub-004,A,harm_04,0.9927480330341624,0.8301242432437027
sub-004,A,harm_05,1.8013856114335614,1.3862002141973884
sub-004,A,harm_06,0.7028551279814208,0.5552156134167161
sub-004,A,harm_07,1.0510743543809848,1.4611556042983085
sub-004,A,harm_08,1.7353577711110926,2.283184898916351
sub-004,A,harm_09,0.9516026390506609,2.0083455121733076
sub-004,A,harm_10,1.2111149319754273,1.4419497177932066
sub-004,A,harm_11,1.3122761569839263,1.5523628556369915
sub-005,A,harm_00,0.8151632847147962,0.49552787267308174
sub-005,A,harm_01,0.2321037900524301,0.30273595107828427
sub-005,A,harm_02,0.7290776863476869,0.2597590520971316
sub-005,A,harm_03,0.65934082072081,0.6375688203868223
sub-005,A,harm_04,0.8986634903068511,0.40580168764348173
sub-005,A,harm_05,0.4416307729576731,0.2786753862373028
sub-005,A,harm_06,0.4018673716042276,0.5174185370971395
sub-005,A,harm_07,0.32417470628415596,0.43937289948258
sub-005,A,harm_08,0.39406657414207247,0.6538277144596433
sub-005,A,harm_09,1.0012489109278209,1.4039757561967174
sub-005,A,harm_10,1.2705874055255764,1.2997207297265883
sub-005,A,harm_11,0.33977050535493303,0.3243896475272858
sub-006,A,harm_00,0.9006011596753677,0.43217764394389246
sub-006,A,harm_01,1.451532806572158,1.539193511310636
sub-006,A,harm_02,0.47678934928246386,0.16537183601745192
sub-006,A,harm_03,0.7290775149035111,0.5430233227486593
sub-006,A,harm_04,1.0704139499503946,0.8753523206764888
sub-006,A,harm_05,0.6436729998982113,0.4309956984281427
sub-006,A,harm_06,1.2597633751399218,0.8665495401904257
sub-006,A,harm_07,1.0297757767551778,1.3114047084304257
sub-006,A,harm_08,1.6861546212275236,2.9971351584019192
sub-006,A,harm_09,1.6506956629769303,3.2410196314794
sub-006,A,harm_10,1.8649577688064654,2.166936595148505
sub-006,A,harm_11,1.267435052904871,1.2883744711209204
sub-007,A,harm_00,2.5848827189470605,1.3667223886852846
sub-007,A,harm_01,2.0453329791397956,1.8494791733720906
sub-007,A,harm_02,0.5005065967068412,0.24162551591392312
sub-007,A,harm_03,1.5521241040393343,1.162358572329735
