subject_id,group,covariate_X,target_Y,window_index,lag_steps,lag_ms,f_stat,p_value
sub-001,A,P3,Fp1,0,5,10,20.319810117984407,1.1348286625149814e-18
sub-001,A,P3,Fp1,0,10,20,21.914515204860397,1.3337380205320367e-34
sub-001,A,P3,Fp1,0,20,40,8.195871499098613,4.903000466445055e-21
sub-001,A,P3,Fp1,0,30,60,4.2595350117014,3.0196685246343274e-12
sub-001,A,P3,Fp1,0,40,80,3.6330378826225127,8.70802506327129e-12
sub-001,A,P3,Fp1,0,50,100,3.504448454342661,6.834841605490137e-13
sub-001,A,P3,Fp1,1,5,10,32.50508557766597,3.70609597489518e-29
sub-001,A,P3,Fp1,1,10,20,4.668832177145191,2.044597020212682e-06
sub-001,A,P3,Fp1,1,20,40,5.991824240732233,2.0346649721807767e-14
sub-001,A,P3,Fp1,1,30,60,3.5630504376193963,2.0602277560670023e-09
sub-001,A,P3,Fp1,1,40,80,3.4857871190467153,4.7233346610207526e-11
sub-001,A,P3,Fp1,1,50,100,4.065565136199692,3.6662486283612475e-16
sub-001,A,P3,Fp1,2,5,10,9.467242453562088,1.1071995289636702e-08
sub-001,A,P3,Fp1,2,10,20,4.2282570402070645,1.1098527096937186e-05
sub-001,A,P3,Fp1,2,20,40,4.322249249198325,2.2162845604945227e-09
sub-001,A,P3,Fp1,2,30,60,3.4570869156595476,5.4832330615113085e-09
sub-001,A,P3,Fp1,2,40,80,3.7205558495011033,3.1760757431849675e-12
sub-001,A,P3,Fp1,2,50,100,3.8368129011230705,7.93879000088424e-15
sub-001,A,P3,Fp1,3,5,10,30.826560607786337,9.245012397610007e-28
sub-001,A,P3,Fp1,3,10,20,9.497180208978811,1.1680954561524454e-14
sub-001,A,P3,Fp1,3,20,40,4.464710869768489,8.311909579188182e-10
sub-001,A,P3,Fp1,3,30,60,2.735680552451644,3.5894060048979863e-06
sub-001,A,P3,Fp1,3,40,80,2.3985428476040735,7.633603243854339e-06
sub-001,A,P3,Fp1,3,50,100,2.198944266475589,1.2398981600528186e-05
sub-001,A,P3,Fp1,4,5,10,21.04964072296987,2.5358545113591905e-19
sub-001,A,P3,Fp1,4,10,20,12.71908583077439,4.473616730612698e-20
sub-001,A,P3,Fp1,4,20,40,5.411105088152849,1.1664330713770518e-12
sub-001,A,P3,Fp1,4,30,60,3.9566662723639414,5.236148762216627e-11
sub-001,A,P3,Fp1,4,40,80,2.994162015678549,1.2297313733415334e-08
sub-001,A,P3,Fp1,4,50,100,2.557027146654881,1.5900232456486165e-07
sub-001,A,Fp1,P3,0,5,10,4.476482723493635,0.0005216599095817781
sub-001,A,Fp1,P3,0,10,20,7.1324770482789255,1.2984813631109834e-10
sub-001,A,Fp1,P3,0,20,40,5.03362200422068,1.6149606266032e-11
sub-001,A,Fp1,P3,0,30,60,3.2001215275724055,5.752843647066143e-08
sub-001,A,Fp1,P3,0,40,80,3.2978445947455284,4.0305284774989337e-10
sub-001,A,Fp1,P3,0,50,100,2.9203221611273595,1.5333363284264653e-09
sub-001,A,Fp1,P3,1,5,10,15.361136191314342,3.5622475550496195e-14
sub-001,A,Fp1,P3,1,10,20,4.564442594422309,3.0580579348209686e-06
sub-001,A,Fp1,P3,1,20,40,4.064157618172893,1.2981747233290716e-08
sub-001,A,Fp1,P3,1,30,60,3.5747954955619874,1.847846419772046e-09
sub-001,A,Fp1,P3,1,40,80,3.0825365334041783,4.580216400080235e-09
sub-001,A,Fp1,P3,1,50,100,2.748743490402546,1.4024526070771473e-08
sub-001,A,Fp1,P3,2,5,10,4.614830406832671,0.00038939759030717124
sub-001,A,Fp1,P3,2,10,20,0.5430986736318283,0.8596590003142144
sub-001,A,Fp1,P3,2,20,40,1.1224352063627978,0.32140887252614425
sub-001,A,Fp1,P3,2,30,60,0.9453399968159903,0.551884730382054
sub-001,A,Fp1,P3,2,40,80,1.2163793350764909,0.17600222909459257
sub-001,A,Fp1,P3,2,50,100,1.7778635012062278,0.0013084872854152185
sub-001,A,Fp1,P3,3,5,10,13.746462976981299,1.1032667638066846e-12
sub-001,A,Fp1,P3,3,10,20,6.9286916875695495,2.9040638851688096e-10
sub-001,A,Fp1,P3,3,20,40,3.005488250732192,1.4907305490373618e-05
sub-001,A,Fp1,P3,3,30,60,2.022290368676015,0.0012519936636989177
sub-001,A,Fp1,P3,3,40,80,1.6410064157971291,0.009417460412219181
sub-001,A,Fp1,P3,3,50,100,1.508784132811473,0.01695233569216527
sub-001,A,Fp1,P3,4,5,10,9.165886233877325,2.1277009862689447e-08
sub-001,A,Fp1,P3,4,10,20,4.157482594358121,1.4534740508888756e-05
sub-001,A,Fp1,P3,4,20,40,3.6100362558972816,2.8026772608697357e-07
sub-001,A,Fp1,P3,4,30,60,1.9179362148001982,0.002725227389588405
sub-001,A,Fp1,P3,4,40,80,1.8252692887017985,0.0019747203743158636
sub-001,A,Fp1,P3,4,50,100,1.6966128944505892,0.0029577766565304715
sub-001,A,P4,Fp2,0,5,10,52.690760837237846,7.198345548853103e-45
sub-001,A,P4,Fp2,0,10,20,23.582636701069536,4.416110440932021e-37
sub-001,A,P4,Fp2,0,20,40,11.004093165140128,3.527230645242736e-29
sub-001,A,P4,Fp2,0,30,60,5.704655467351796,3.4015087954576454e-18
sub-001,A,P4,Fp2,0,40,80,5.333265323213565,2.4011401255873072e-20
sub-001,A,P4,Fp2,0,50,100,4.842117131721125,1.1067329570942211e-20
sub-001,A,P4,Fp2,1,5,10,22.660659525139458,9.502301408775731e-21
sub-001,A,P4,Fp2,1,10,20,4.417266733753458,5.384815954163915e-06
sub-001,A,P4,Fp2,1,20,40,5.859086713275974,5.133337567234621e-14
sub-001,A,P4,Fp2,1,30,60,3.6018063287292925,1.438506314048391e-09
sub-001,A,P4,Fp2,1,40,80,3.650787905982223,7.0985040787776014e-12
sub-001,A,P4,Fp2,1,50,100,3.8112823577364447,1.1186825306169704e-14
